Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0, Enjoying a beautiful day at the park!              ,0.75,2023-01-15 12:30:00, User123      , Twitter  , #Nature #Park                            ,15.0,30.0,USA,2023,1,15,12
1,1, Traffic was terrible this morning.                 ,-1.0,2023-01-15 08:45:00, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0,Canada,2023,1,15,8
2,2, Just finished an amazing workout! 💪               ,0.7500000000000001,2023-01-15 15:45:00, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0,USA,2023,1,15,15
6,6, Rainy days call for cozy blankets and hot cocoa.   ,0.02500000000000001,2023-01-16 14:45:00, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0,Canada,2023,1,16,14
7,7, The new movie release is a must-watch!             ,0.17045454545454544,2023-01-16 19:30:00, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0,USA,2023,1,16,19
8,8, Political discussions heating up on the timeline.  ,0.0,2023-01-17 08:00:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0,USA,2023,1,17,8
10,10, Just published a new blog post. Check it out!      ,0.17045454545454544,2023-01-17 15:15:00, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15
11,11, Feeling a bit under the weather today.             ,0.0,2023-01-18 10:30:00, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0,Canada,2023,1,18,10
13,13," New year, new fitness goals! 💪                    ",0.15340909090909088,2023-01-18 18:00:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0,USA,2023,1,18,18
15,15, Reflecting on the past and looking ahead.          ,-0.25,2023-01-19 13:20:00, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0,USA,2023,1,19,13
16,16, Just adopted a cute furry friend! 🐾              ,0.625,2023-01-19 17:10:00, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0,Canada,2023,1,19,17
18,18, Attending a virtual conference on AI.              ,0.0,2023-01-20 11:30:00, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11
19,19, Winter blues got me feeling low.                   ,0.0,2023-01-20 15:15:00, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0,USA,2023,1,20,15
21,21, Exploring the world of virtual reality.            ,0.0,2023-01-21 13:20:00, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13
22,22, Productive day ticking off my to-do list.          ,0.0,2023-01-21 16:45:00, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0,USA,2023,1,21,16
24,24, Celebrating a milestone at work! 🎉               ,0.0,2023-01-22 14:30:00, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0,Canada,2023,1,22,14
29,30, Reflecting on the importance of mental health.     ,-0.1,2023-01-24 11:30:00, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0,USA,2023,1,24,11
30,31, New painting in progress! 🎨                       ,0.17045454545454544,2023-01-24 15:00:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0,Canada,2023,1,24,15
33,34, Coding a new project with enthusiasm.              ,0.13636363636363635,2023-01-25 13:15:00, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0,USA,2023,1,25,13
34,35, Feeling inspired after attending a workshop.       ,0.0,2023-01-26 09:45:00, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9
35,36, Winter sports day at the local park.               ,0.0,2023-01-26 14:20:00, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0,Canada,2023,1,26,14
37,38, Attending a live music concert tonight.            ,0.13636363636363635,2023-01-27 20:00:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0,USA,2023,1,27,20
39,40, Trying out a new dessert recipe.                   ,0.13636363636363635,2023-01-27 16:10:00, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0,Canada,2023,1,27,16
40,41, Excited about the upcoming gaming tournament.      ,0.375,2023-01-28 09:00:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9
41,42, Planning a garden makeover for spring.             ,0.0,2023-01-28 14:45:00, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0,USA,2023,1,28,14
44,45, A cozy evening with a good movie.                 ,0.25,2023-01-29 20:20:00, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0,Canada,2023,1,29,20
45,46, Exploring local art galleries this weekend.        ,0.0,2023-01-30 11:30:00, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0,USA,2023,1,30,11
49,50, Cooking a special dinner for loved ones.           ,0.5285714285714286,2023-01-31 19:00:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0,USA,2023,1,31,19
50,51, Feeling optimistic about the week ahead.           ,0.0,2023-01-31 16:20:00, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0,Canada,2023,1,31,16
52,53, Sunday bike ride through scenic trails.           ,0.0,2023-02-01 13:30:00, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0,USA,2023,2,1,13
53,55, Can't believe the injustice happening in our society.,0.0,2023-02-11 09:30:00, SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0,Canada,2023,2,11,9
54,56, Feeling a sense of fear after watching a thriller movie. ,0.0,2023-02-11 21:15:00, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0,USA,2023,2,11,21
57,59, Pure happiness: celebrating a loved one's achievement! ,0.5964285714285714,2023-02-13 10:00:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0,USA,2023,2,13,10
58,60, Laughter is the best medicine—enjoying a comedy show. ,1.0,2023-02-13 19:30:00, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0,Canada,2023,2,13,19
61,63, Enjoying a quiet evening with a book and some tea.      ,0.25,2023-02-14 19:45:00, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0,Canada,2023,2,14,19
62,64, Admiring the beauty of nature during a peaceful hike.   ,0.25,2023-02-15 11:30:00, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0,USA,2023,2,15,11
63,65, Sending affectionate vibes to all my followers!          ,0.0,2023-02-15 16:00:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16
66,68, A surprise gift from a friend made my day!              ,0.0,2023-02-16 14:45:00, HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0,USA,2023,2,16,14
67,69, Finding acceptance in the midst of life's challenges.   ,0.0,2023-02-16 18:20:00, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0,Canada,2023,2,16,18
69,71, Anticipating a thrilling adventure in the coming weeks. ,0.25,2023-02-17 07:30:00, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7
70,72, A bitter experience turned into a valuable lesson.      ,-0.1,2023-02-17 15:00:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0,USA,2023,2,17,15
73,75, Excitement building up for the upcoming vacation!       ,0.0,2023-02-18 18:45:00, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0,Canada,2023,2,18,18
74,76, Kindness witnessed today restored my faith in humanity. ,0.0,2023-02-19 11:30:00, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20.0,40.0,USA,2023,2,19,11
77,79, Fuming with anger after a heated argument.            ,-0.7,2023-02-20 09:30:00, AngryDebater    , Twitter  , #Anger #Argument                             ,20.0,40.0,Canada,2023,2,20,9
78,80, The fear of the unknown is keeping me up at night.    ,-0.1,2023-02-20 21:15:00, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15.0,30.0,USA,2023,2,20,21
82,84, Laughter is the key to joy—attending a stand-up comedy show. ,0.0,2023-02-22 19:30:00, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22.0,45.0,Canada,2023,2,22,19
85,87, Enjoying every moment of this trip—pure enjoyment!      ,0.625,2023-02-23 19:45:00, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25.0,50.0,USA,2023,2,23,19
86,88, Admiring the dedication of volunteers at a local charity. ,0.0,2023-02-24 11:30:00, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20.0,40.0,USA,2023,2,24,11
87,89, Sending affectionate vibes to friends and family.        ,0.0,2023-02-24 16:00:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2,24,16
90,92, A surprise visit from an old friend brought tears of joy. ,0.45,2023-02-25 14:45:00, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25.0,50.0,USA,2023,2,25,14
91,93, Embracing acceptance of life's ups and downs.           ,0.0,2023-02-25 18:20:00, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15.0,30.0,Canada,2023,2,25,18
94,96, Bitter experience at the customer service department.   ,-0.1,2023-02-26 15:00:00, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18.0,35.0,USA,2023,2,26,15
97,99, Excitement building up for a surprise birthday party.   ,0.0,2023-02-27 18:45:00, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22.0,45.0,Canada,2023,2,27,18
98,100, Witnessed an act of kindness that made my day.          ,0.0,2023-02-28 11:30:00, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20.0,40.0,USA,2023,2,28,11
102,104, Excitement for a quiet evening with a good book.        ,0.35,2023-03-01 13:30:00, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18.0,35.0,USA,2023,3,1,13
103,105, Feeling bitter about the unfairness in the workplace.   ,-0.1,2023-03-01 17:45:00, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15.0,30.0,Canada,2023,3,1,17
105,107, Confusion surrounds me as I navigate through life's choices. ,0.0,2023-03-02 13:15:00, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30.0,60.0,USA,2023,3,2,13
107,109, Kindness witnessed today restores my faith in humanity.  ,0.0,2023-03-03 11:30:00, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22.0,45.0,USA,2023,3,3,11
108,110, Pride in accomplishing personal and professional goals.  ,0.05,2023-03-03 14:30:00, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12.0,25.0,Canada,2023,3,3,14
110,112," Revisiting old memories, feeling a sense of elation. ",0.1,2010-05-15 15:30:00, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20.0,40.0,Canada,2010,5,15,15
111,113, The victory of our team brought euphoria to the city. ,0.0,2021-08-10 21:15:00, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15.0,30.0,USA,2021,8,10,21
